colonial,modern,kind,pattern,sightings,evidence,post_title,post_date,post_url
"avenue de l'Inspection","upper Đinh Tiên Hoàng street","street","X (now Y)","1","k of waterways, and the road to Gia Định, then known as the avenue de l'Inspection (today upper Đinh Tiên Hoàng street), was described as being “lined with trees and surrounded by","The Tour de l’Inspection","2014-09-30","https://www.historicvietnam.com/tour-dinspection/"
"boulevard Bonard","where Lê Lợi","unclear","Y (formerly X)","1","of Lam Sơn square is the Bùng Binh Sài Gòn traffic circle, where Lê Lợi (formerly boulevard Bonard) meets Nguyễn Huệ (formerly boulevard Charner). The Sài Gòn","Graham Greene’s Saigon","2014-01-16","https://www.historicvietnam.com/graham-greenes-saigon-revisited/"
"boulevard Charner","meets Nguyễn Huệ","unclear","Y (formerly X)","1","òn traffic circle, where Lê Lợi (formerly boulevard Bonard) meets Nguyễn Huệ (formerly boulevard Charner). The Sài Gòn Tax Trade Centre at 135 Nguyễn Huệ, originally","Graham Greene’s Saigon","2014-01-16","https://www.historicvietnam.com/graham-greenes-saigon-revisited/"
"boulevard de Ceinture","Lê Hồng Phong street","street","X (now Y)","1","renamed the Lycée Pétrus Ký. The easternmost section of the boulevard de Ceinture (now Lê Hồng Phong street) in Chợ Quán was subsequently renamed “rue Pétrus-Ky” and a","Old Saigon Building of the Week – Petrus Ky Mausoleum and Memorial House, 1937","2014-06-05","https://www.historicvietnam.com/petrus-ky-mausoleum/"
"boulevard de la Citadelle","Tôn Đức Thắng street","street","X (now Y)","1","er premises by granting the Sisters a large plot of land on boulevard de la Citadelle (modern Tôn Đức Thắng street), between the St Joseph’s Seminary and the naval shipyard. N","Old Saigon Building of the Week – St Paul’s Convent, 1863","2015-03-15","https://www.historicvietnam.com/st-pauls-convent/"
"boulevard Galliéni","Trần Hưng Đạo boulevard","street","X, now Y","1","on id=""attachment_7538"" align=""alignnone"" width=""1500""] The boulevard Galliéni, now Trần Hưng Đạo boulevard, pictured in the 1940s[/caption] This article was published","Saigon’s Famous Streets and Squares – Tran Hung Dao Boulevard","2015-09-24","https://www.historicvietnam.com/tran-hung-dao-boulevard/"
"boulevard Jules Ferry","Trần Phú street","street","X, now Y","1","infantry and artillery barracks nearby on what later became boulevard Jules Ferry, now Trần Phú street. In 1888, the Hôpital militaire de Tourane was set up in th","Dien Hai – Da Nang's Forgotten Vauban Citadel","2020-01-01","https://www.historicvietnam.com/dien-hai-citadel/"
"boulevard Norodom","Lê Duẩn","unclear","X (now Y)","1","te, in front of the main 11th Colonial Infantry Barracks on boulevard Norodom (modern Lê Duẩn), which a 1906 Saigon visitors’ guidebook ( Saïgon-Souvenir,","Old Saigon Building of the Week – Former Foyer du Soldat et du Marin, 1937","2014-08-11","https://www.historicvietnam.com/foyer-du-soldat-et-du-marin/"
"boulevard Norodom","23 Lê Duẩn","address","X (now Y)","1","Designed in art deco style, the Maison du Combattant at 23 boulevard Norodom (now 23 Lê Duẩn) was completed on 30 June 1932 and inaugurated on 14 July 19","Date with the Wrecking Ball – Former Maison du Combattant, 23 Le Duan, 1932","2015-07-18","https://www.historicvietnam.com/maison-du-combattant-2/"
"canal de Dérivation","Kênh Tẻ","unclear","X (now Y)","1","transformed into a fixed bridge[/caption] By this time, the canal de Dérivation (now the Kênh Tẻ) had long taken over as the main water gateway to Chợ Lớn, a","Icons of Old Saigon - The Swing Bridge (Pont Tournant), 1903","2015-12-18","https://www.historicvietnam.com/pont-tournant/"
"place du Marché","Quách Thị Trang square","street","X (now Y)","1","Duperré stretched all the way from the Saigon river to the place du Marché (modern Quách Thị Trang square) - see The Changing Faces of Sai Gon Railway Station . In 19","Saigon’s Famous Streets and Squares - Ham Nghi","2015-12-11","https://www.historicvietnam.com/ham-nghi/"
"place Neyret","Cửa Nam","unclear","X (now Y)","1","d Line 2 at Château d'eau (Bốt Nước Hàng Đậu) and Line 3 at place Neyret (now Cửa Nam). In 1943, Line 5 was extended further south as far as the r","Ha Noi Tramway Network","2013-11-04","https://www.historicvietnam.com/ha-noi-tramway-network/"
"place of burial","national monument that we all","unclear","X, now Y","1","ong the northeast and northwest sides of the citadel to the place of burial, now the national monument that we all know [see Lăng Cha Cả – from mausoleum…. to roundabout!] .","Historical Note on Saigon, 1917","2015-04-05","https://www.historicvietnam.com/historical-note-on-saigon-1917/"
"place Rigault de Genouilly","11 Mê Linh","address","X (now Y)","1","mmerce de Saïgon (Saigon Chamber of Commerce) moved into 11 place Rigault de Genouilly (now 11 Mê Linh) on 30 September 1868, where it remained for 60 years - for","Old Saigon Building of the Week – Second Chambre de Commerce Building, 1928","2014-07-29","https://www.historicvietnam.com/second-chambre-de-commerce/"
"place Rigault de Genouilly","Mê Linh square","street","X (now Y)","1","r commandant Doudard de Lagrée which stood at the centre of place Rigault de Genouilly (modern Mê Linh square)[/caption] I see in the middle of a garden [modern Mê Linh s","Saigon Through the Eyes of Early Travellers – Louise Bourbonnaud in 1888, Part 3","2014-08-07","https://www.historicvietnam.com/louise-bourbonnaud-part-3/"
"pont de l'Avalanche [Third Avalanche Bridge","Kiệu Bridge in Phú Nhuận","street","X, now Y","1","ar the village of Phu-Hoa, on the road leading to the third pont de l'Avalanche [Third Avalanche Bridge, now the Kiệu Bridge in Phú Nhuận]. [caption id=""attachment_8958"" align=""alignright"" width=""3","Saigon-Cholon in 1868, by Charles Lemire","2015-12-29","https://www.historicvietnam.com/saigon-cholon-in-1868/"
"Pont Doumer","Long Biên Bridge","street","X (now Y)","1","nt_13653"" align=""alignnone"" width=""2000""] Tonkin - Hà Nội - Pont Doumer (today the Long Biên Bridge)[/caption] Some tourism training materials being circulated","Debunking the Eiffel myth in Vietnamese tourism","2020-12-10","https://www.historicvietnam.com/debunking-the-eiffel-myth/"
"Pont Thành-Thái","Trường Tiền Bridge","street","X (now Y)","1","ent_13655"" align=""alignnone"" width=""1991""] Annam - Huế - Le Pont Thành-Thái (today the Trường Tiền Bridge)[/caption] A number of tourism training documents used in Hu","Debunking the Eiffel myth in Vietnamese tourism","2020-12-10","https://www.historicvietnam.com/debunking-the-eiffel-myth/"
"quai Belqique","Võ Văn Kiệt","unclear","X (now Y)","1","width=""300""] The original Banque de l'Indochine building on quai Belqique (now Võ Văn Kiệt)[/caption] Arriving in Saigon, travellers coming from Europe","Saigon Through the Eyes of Early Travellers – Leon Caubert in 1887","2014-11-08","https://www.historicvietnam.com/leon-caubert-in-1887/"
"quai de Belgique","Võ Văn Kiệt","unclear","X (now Y)","1","a. While the Maison Descours et Cabaud office building at 1 quai de Belgique (now Võ Văn Kiệt) was demolished many years ago, the company’s executive resi","Old Saigon Building of the Week – 39 Tran Quoc Thao, 1900-1910","2014-11-10","https://www.historicvietnam.com/39-tran-quoc-thao/"
"quai du Commerce","Tôn Đức Thắng street","street","X (now Y)","1","5138"" align=""alignleft"" width=""300""] Riverside cafes on the quai du Commerce (now Tôn Đức Thắng street)[/caption] Then we pass a row of riverside cafés, which are","Saigon Through the Eyes of Early Travellers – Arthur Delteil in 1882, Part 3","2014-12-05","https://www.historicvietnam.com/arthur-delteil-in-1882-part-3/"
"quai Testard","5 Châu Văn Liêm","address","X (now Y)","1","he site of the first Liên Thành company headquarters at 1-3 quai Testard (now 5 Châu Văn Liêm) in Chợ Lớn, commemorating its association with Nguyễn Tất T","Old Saigon Building of the Week – Lien Thanh Fish Sauce Company Headquarters, 1922","2014-02-06","https://www.historicvietnam.com/lien-thanh-fish-sauce-company-hq/"
"quai Testard on the Phố Xếp Canal","Châu Văn Liêm street","street","X, now Y","1","outhern branch office in Chợ Lớn, renting a building at 1-3 quai Testard on the Phố Xếp Canal, now Châu Văn Liêm street. In August 1910, Nguyễn Tất Thành – later known to the worl","Old Saigon Building of the Week – Lien Thanh Fish Sauce Company Headquarters, 1922","2014-02-06","https://www.historicvietnam.com/lien-thanh-fish-sauce-company-hq/"
"Route basse de Cholon","đường Võ Văn Kiệt","unclear","X (now Y)","1",", Trương Văn Bền opened a larger manufacturing plant on the Route basse de Cholon (now đường Võ Văn Kiệt) in Chợ Quán, with the aim of increasing production and dive","Truong Van Ben and the Story of Co Ba Soap","2014-07-12","https://www.historicvietnam.com/truong-van-ben/"
"route de Thuan-Kieu","Cách mạng Tháng 8 street","street","X (now Y)","1","ay Phù Đổng junction, where it branched northward along the route de Thuan-Kieu (now Cách mạng Tháng 8 street) to Hòa Hưng and onward to Biên Hòa. Realising that the exis","The Changing Faces of Sai Gon Railway Station, 1885-1983","2013-12-19","https://www.historicvietnam.com/saigon-railway-station/"
"route Mandarine","Lê Duẩn street","street","X (now Y)","1","he city, the southernmost stretch of the line following the route Mandarine (now Lê Duẩn street). Line 5 briefly intersected Line 2 at Château d'eau (Bốt Nư","Ha Noi Tramway Network","2013-11-04","https://www.historicvietnam.com/ha-noi-tramway-network/"
"route provincial","Phan Đăng Lưu and Hoàng Văn Thụ streets","unclear","X (now Y)","1","nh, this “grand promenade” took participants west along the route provincial (modern Phan Đăng Lưu and Hoàng Văn Thụ streets) to the Pigneau de Béhaine Mausoleum in Tan Sơn Nhất, and th","The Tour de l’Inspection","2014-09-30","https://www.historicvietnam.com/tour-dinspection/"
"rue Barbé/Barbet","Gạo restaurant at","unclear","X, now Y","1","by trees[/caption] During the same period, the villa at 33 rue Barbé/Barbet, now Gạo restaurant at 33 Lê Quý Đôn, was the residence of Monsieur Bec, owner of","Saigon’s Old French Planter Villas","2016-04-20","https://www.historicvietnam.com/saigons-old-french-planter-villas/"
"rue Capitaine Faucon","Trần Quang Diệu and Trần Huy Liệu streets","unclear","X (now Y)","1","e original path of the Sài Gòn-Nha Trang line took it along rue Capitaine Faucon (modern Trần Quang Diệu and Trần Huy Liệu streets). However, a 3.6 million-piastre project of 1931 recommended","The Changing Faces of Sai Gon Railway Station, 1885-1983","2013-12-19","https://www.historicvietnam.com/saigon-railway-station/"
"rue Catinat","Đờng Khởi street","street","X (now Y)","1","_5155"" align=""alignleft"" width=""300""] A Malabar carriage on rue Catinat (modern Đờng Khởi street)[/caption] The rue Nationale, which follows rue Tabert and b","Saigon Through the Eyes of Early Travellers – Arthur Delteil in 1882, Part 3","2014-12-05","https://www.historicvietnam.com/arthur-delteil-in-1882-part-3/"
"rue Chaigneau","Tôn Thất Đạm street","street","X (now Y)","1","to access the old city market on what the French designated rue Chaigneau (modern Tôn Thất Đạm street). At the start of the colonial period, the wharfs on both si","Saigon’s Famous Streets and Squares - Ham Nghi","2015-12-11","https://www.historicvietnam.com/ham-nghi/"
"rue Champagne","66 Lý Chính Thắng","address","X (now Y)","1","April 1931 while visiting the Party’s printing house at 66 rue Champagne (now 66 Lý Chính Thắng) in Sài Gòn, he was detained in several different locations","Off the Tourist Trail in Saigon – Tran Phu Memorial Museum","2014-01-30","https://www.historicvietnam.com/tran-phu-memorial-museum/"
"rue Chasseloup-Laubat","Labour Culture Palace at","building","X, now Y","1","egular visits to the exclusive Cercle Sportif Saïgonnais on rue Chasseloup-Laubat, now the Labour Culture Palace at 55B Nguyễn Thị Minh Khai. Interestingly, the book mentions","Graham Greene’s Saigon","2014-01-16","https://www.historicvietnam.com/graham-greenes-saigon-revisited/"
"rue d’An-Binh","An Bình street","street","X (now Y)","1","t), the boulevard Saigon-Cholon extended west as far as the rue d’An-Binh (modern An Bình street), whence the existing rue des Marins (modern Trần Hưng Đạo B","Saigon’s Famous Streets and Squares – Tran Hung Dao Boulevard","2015-09-24","https://www.historicvietnam.com/tran-hung-dao-boulevard/"
"rue d’Espagne","Lê Thánh Tôn","unclear","X, now Y","1","onnique Le Réveil de l'orient (Awakening of the East) at 17 rue d’Espagne, now Lê Thánh Tôn. That first lodge was founded under the jurisdiction of the","Old Saigon Building of the Week – Former French Masonic Lodge, 110 Nguyen Du, 1900","2014-01-14","https://www.historicvietnam.com/french-masonic-lodge/"
"Rue de Canton","Triệu Quang Phục street","street","X (now Y)","1","caption id=""attachment_5164"" align=""alignleft"" width=""300""] Rue de Canton (now Triệu Quang Phục street) in Chợ Lớn[/caption] After the orchestra came a group of li","Saigon Through the Eyes of Early Travellers – Arthur Delteil in 1882, Part 3","2014-12-05","https://www.historicvietnam.com/arthur-delteil-in-1882-part-3/"
"rue de Go-Cong","Gò Công","unclear","X (now Y)","1","Đình Hổ), the rue de Palikao (modern Ngô Nhân Tịnh) and the rue de Go-Cong (now Gò Công) respectively. However, perhaps the canal’s best-known bridg","Icons of Old Saigon – The Canal Bonard, 1893","2015-03-09","https://www.historicvietnam.com/canal-bonard/"
"rue de Lagrandière/Gia Long","Lý Tự Trọng","unclear","X (now Y)","1","tion id=""attachment_4121"" align=""alignleft"" width=""300""] 34 rue de Lagrandière/Gia Long (now Lý Tự Trọng) street, where the library was based from the 1920s until 19","Old Saigon Building of the Week – Ho Chi Minh City General Sciences Library, 1970","2014-09-15","https://www.historicvietnam.com/general-sciences-library/"
"rue de Massiges","Mạc Đĩnh Chi street","street","X (now Y)","1","ice Régional d'Hygiène de Saigon, which had an office at 67 rue de Massiges (modern Mạc Đĩnh Chi street). Many well-known figures of the later colonial era were bur","Le Van Tam Park – Former Massiges Cemetery, 1859","2014-09-23","https://www.historicvietnam.com/former-massiges-cemetery/"
"rue de Massiges cemetery","Lê Văn Tám Park","unclear","X (now Y)","1","e mausoleum was earmarked for clearance, along with the old rue de Massiges cemetery (now Lê Văn Tám Park) and several other French military graveyards. Pigneau’s rem","Lang Cha Ca – From Mausoleum…. To Roundabout!","2014-04-25","https://www.historicvietnam.com/lang-cha-ca/"
"rue de Minh-Phung","Minh Phụng","unclear","X (now Y)","1","es had been constructed over the canal Bonard, carrying the rue de Minh-Phung (modern Minh Phụng), the rue Danel (after 1928 a joint rail-tramway bridge, now","Icons of Old Saigon – The Canal Bonard, 1893","2015-03-09","https://www.historicvietnam.com/canal-bonard/"
"rue de Palikao","Ngô Nhân Tịnh","unclear","X (now Y)","1","er 1928 a joint rail-tramway bridge, now Phạm Đình Hổ), the rue de Palikao (modern Ngô Nhân Tịnh) and the rue de Go-Cong (now Gò Công) respectively. However,","Icons of Old Saigon – The Canal Bonard, 1893","2015-03-09","https://www.historicvietnam.com/canal-bonard/"
"rue de Paris","Phùng Hưng street","street","X, now Y","1","nt church in Chợ Lớn [the earlier St-Michel Church on upper rue de Paris, now Phùng Hưng street], was inhabited by blacksmiths and manufacturers of iron wi","Petrus Ky – Historical Memories of Saigon and its Environs, 1885, Part 3","2014-10-12","https://www.historicvietnam.com/historic-memories-3/"
"rue des Marins","Trần Hưng Đạo B","unclear","X (now Y)","1","rue d’An-Binh (modern An Bình street), whence the existing rue des Marins (modern Trần Hưng Đạo B) continued into Chợ Lớn [caption id=""attachment_7546"" align=","Saigon’s Famous Streets and Squares – Tran Hung Dao Boulevard","2015-09-24","https://www.historicvietnam.com/tran-hung-dao-boulevard/"
"rue Docteur Angier","Nguyễn Bỉnh Khiêm street","street","X (now Y)","1","ier Clinique du Docteur Angier (1908), which had stood at 1 rue Docteur Angier (now Nguyễn Bỉnh Khiêm street), immediately behind the St Paul’s Convent. The new Clinique","Old Saigon Building of the Week – Former Clinique Saint-Paul, 1938","2014-03-25","https://www.historicvietnam.com/clinique-saint-paul/"
"rue du Canton","Hàm Nghi boulevard","street","X (now Y)","1","Sài Gòn Railway Station was located at the riverside end of rue du Canton (modern Hàm Nghi boulevard). From there, the rail track ran west along the centre of th","The Changing Faces of Sai Gon Railway Station, 1885-1983","2013-12-19","https://www.historicvietnam.com/saigon-railway-station/"
"rue Duranton","Bùi Thị Xuân street","street","X, now Y","1","le’s apartment is close to the Cercle Sportif on tree-lined rue Duranton, now Bùi Thị Xuân street . Chợ Lớn is mentioned on several occasions in The Quiet Am","Graham Greene’s Saigon","2014-01-16","https://www.historicvietnam.com/graham-greenes-saigon-revisited/"
"rue Frère Guilleraut","Tôn Thất Tùng street","street","X (now Y)","1","the corner of rue Frère Louis (now Nguyễn Trãi street) and rue Frère Guilleraut (now Tôn Thất Tùng street). The church was designed by Father Charles Boutier (1845-19","Saigon's Favourite Churches – Huyện Sỹ Church","2013-12-03","https://www.historicvietnam.com/huyen-sy-church/"
"rue Frère Louis","Nguyễn Trãi street","street","X (now Y)","1","Sỹ in District 1 was constructed in 1902-1905 the corner of rue Frère Louis (now Nguyễn Trãi street) and rue Frère Guilleraut (now Tôn Thất Tùng street). The ch","Saigon's Favourite Churches – Huyện Sỹ Church","2013-12-03","https://www.historicvietnam.com/huyen-sy-church/"
"Rue Garcerie","Phạm Ngọc Thạch street","street","X, now Y","1","caption id=""attachment_3768"" align=""alignleft"" width=""300""] Rue Garcerie, now Phạm Ngọc Thạch street[/caption] Mrs de Blainville sends her two youngest sons to","Saigon Through the Eyes of Early Travellers – Louise Bourbonnaud in 1888, Part 3","2014-08-07","https://www.historicvietnam.com/louise-bourbonnaud-part-3/"
"rue Guynemer","Hồ Tùng Mậu street","street","X (now Y)","1","ans returned in 1945, the US Consulate relocated again to 4 rue Guynemer (now Hồ Tùng Mậu street) before the opening of the first purpose-built US Embassy on","Date with the Wrecking Ball – Catinat Building, 26 Ly Tu Trong, 1927","2014-06-27","https://www.historicvietnam.com/catinat-building/"
"rue Guynemer","4 Hồ Tùng Mậu","address","X (now Y)","1","returned in 1945, the US Consulate relocated yet again to 4 rue Guynemer (now 4 Hồ Tùng Mậu ), before the opening of the first purpose-built US Embassy o","In Search of Saigon’s American War Vestiges","2015-04-26","https://www.historicvietnam.com/us-vestiges/"
"rue Jean-Eudel","Nguyễn Tất Thành","unclear","X (now Y)","1","tion of Xóm Chiếu Parish Church from its former compound on rue Jean-Eudel (modern Nguyễn Tất Thành) to its current site. At this time, the mercantile port was","A Short History of Saigon Port","2018-03-11","https://www.historicvietnam.com/short-history-saigon-port/"
"rue Krantz/rue Duperré","Hàm Nghi","unclear","X (now Y)","1","ight spur which connected the Saigon-Mỹ Tho railway line on rue Krantz/rue Duperré (modern Hàm Nghi) with both the Messageries maritimes wharf and mercantile po","A Short History of Saigon Port","2018-03-11","https://www.historicvietnam.com/short-history-saigon-port/"
"rue Lacaut/đường Chi Lăng","Hoàng Văn Thụ","unclear","X (now Y)","1","cquired the former villa of a departing French planter at 2 rue Lacaut/đường Chi Lăng (modern Hoàng Văn Thụ), right next to its Phú Nhuận headquarters, and converted it","Old Saigon Building of the Week – Former Saigon Adventist Hospital, 1961","2016-06-29","https://www.historicvietnam.com/former-saigon-adventist-hospital/"
"rue Lefèbvre","Nguyễn Công Trứ street","street","X (now Y)","1","have replaced a “confiscated Annamite mandarin’s house” on rue Lefèbvre (modern Nguyễn Công Trứ street), which had served as a temporary episcopal residence since","Old Saigon Building of the Week: The Lost Paris Foreign Missions Society Chapel","2015-11-20","https://www.historicvietnam.com/lost-mep-chapel/"
"rue Legrand de la Liraye","Điện Biên Phủ street","street","X (now Y)","1","=""attachment_4157"" align=""alignleft"" width=""300""] A view of rue Legrand de la Liraye (now Điện Biên Phủ street) with the main gate of the European Cemetery on the right[/c","Le Van Tam Park – Former Massiges Cemetery, 1859","2014-09-23","https://www.historicvietnam.com/former-massiges-cemetery/"
"rue Legrand de la Liraye and rue Pierre Flandin","Điện Biên Phủ and Bà Huyện Thanh Quan streets","unclear","X (now Y)","1","ique Saint-Paul was built in 1936-1937 near the junction of rue Legrand de la Liraye and rue Pierre Flandin (modern Điện Biên Phủ and Bà Huyện Thanh Quan streets) to replace their earlier Clinique du Docteur Angier (1908),","Old Saigon Building of the Week – Former Clinique Saint-Paul, 1938","2014-03-25","https://www.historicvietnam.com/clinique-saint-paul/"
"rue Lucien Mossard","Nguyễn Du street","street","X (now Y)","1","mprimerie de l'Union, based initially at 13 and later at 57 rue Lucien Mossard (modern Nguyễn Du street). It printed the newspapers L'Écho annamite: Organe de défen","Date with the Wrecking Ball – Former Imprimerie de l’Union Building, 49-57 Nguyen Du, c 1920","2014-12-22","https://www.historicvietnam.com/nguyen-van-cua-imprimerie-de-lunion-building/"
"rue Mac-Mahon","169 Nam Kỳ Khởi Nghĩa","address","X (now Y)","1","lso commissioned the construction of a grand mansion at 169 rue Mac-Mahon (now 169 Nam Kỳ Khởi Nghĩa) in Saigon. However, she was given little time to enjoy thes","The Spectacular Rise and Fall of Madame de la Souchere","2014-03-05","https://www.historicvietnam.com/madame-de-la-souchere/"
"rue Mac-Mahon","Hồ Chí Minh City Children","unclear","X, now Y","1","’s “rubber plantation district” is the grand mansion at 169 rue Mac-Mahon, now the Hồ Chí Minh City Children’s House at 169 Nam Kỳ Khởi Nghĩa. It was built in 1927 for","Saigon’s Old French Planter Villas","2016-04-20","https://www.historicvietnam.com/saigons-old-french-planter-villas/"
"rue Martin-des-Pallières","Bùi Hữu Nghĩa street","street","X (now Y)","1","oss the 2nd Avalanche (road-tramway) bridge and north along rue Martin-des-Pallières (now Bùi Hữu Nghĩa street) was devised, making it possible to split the promenaders in","The Tour de l’Inspection","2014-09-30","https://www.historicvietnam.com/tour-dinspection/"
"rue Mayer","Võ Thị Sáu","unclear","X, now Y","1","found renting another villa (now demolished) at nearby 167 rue Mayer, now Võ Thị Sáu. [caption id=""attachment_9302"" align=""alignleft"" width=""300","Saigon’s Old French Planter Villas","2016-04-20","https://www.historicvietnam.com/saigons-old-french-planter-villas/"
"rue National","Hai Bà Trưng street","street","X (now Y)","1","on of the first Marine Infantry Barracks either side of the rue National (modern Hai Bà Trưng street) is shown clearly on this 1864 map[/caption] I spoke very br","Life in Saigon, 1868-1870, by M A Petiton","2014-11-04","https://www.historicvietnam.com/life-in-saigon-1868-1870/"
